_id,title,release_year,movie_rating,summary,Up_System
47,Absence of Malice,1981,6.9,"When a prosecutor leaks a false story that a liquor warehouse owner is involved in the murder of a union head, the man's life begins to unravel.",CM
48,Short Circuit,1986,6.6,"Number 5 of a group of experimental robots in a lab is electrocuted, suddenly becomes intelligent, and escapes.",CM
49,Encino Man,1992,5.7,"When they find a frozen caveman in their back yard, two high school outcasts thaw him and introduce him to modern life while he in turn gets them to actually enjoy life.",CM
50,Max Payne,2008,5.4,"Coming together to solve a series of murders in New York City are a police detective whose family was slain as part of a conspiracy and an assassin out to avenge her sister's death. The duo will be hunted by the police, the mob, and a ruthless corporation.",CM
51,Three Fugitives,1989,6.1,"A reformed bank robber is taken hostage by a desperate man during a bank hold up, but is forced to go on the run with his captor when they're both mistakenly thought to be in cahoots.",CM
52,The Dark Crystal,1982,7.2,"On another planet in the distant past, a Gelfling embarks on a quest to find the missing shard of a magical crystal, and so restore order to his world.",CM
53,Duplicity,2009,6.2,"Two ex-government agents turned rival industrial spies have to be at the top of their game when one of their companies prepares to launch a major product. However, they distract each other in more ways than one.",CM
54,Pleasantville,1998,7.5,"Two 1990s teenage siblings find themselves in a 1950s sitcom, where their influence begins to profoundly change that complacent world.",CM
55,Ghost in the Shell,2017,6.4,"In the near future, Major Mira Killian is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",CM
56,Jagged Edge,1985,6.5,"A wealthy woman is murdered in her beach house. The husband is allegedly knocked out first. He inherits all her inherited wealth. He has a female corporate lawyer, criminal prosecutor 4 years ago, represent him in court. Guilty?",CM
57,Bill &amp; Ted's Excellent Adventure,1989,6.9,Two seemingly dumb teens set off on a quest to prepare the ultimate historical presentation with the help of a time machine.,CM
58,Pretty in Pink,1986,6.8,A poor girl must choose between the affections of dating her childhood sweetheart or a rich but sensitive playboy.,CM
59,The Fly,1986,7.5,A brilliant but eccentric scientist begins to transform into a giant man/fly hybrid after one of his experiments goes horribly wrong.,CM
60,Paddington 2,2017,7.9,"Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen.",CM
61,The Water Horse,2007,6.5,A lonely boy discovers a mysterious egg that hatches a sea creature of Scottish legend.,CM
62,Blue Crush,2002,5.7,"As a hard-core surfer girl prepares for a big competition, she finds herself falling for a football player.",CM
63,Reds,1981,7.4,"A radical American journalist becomes involved with the Communist revolution in Russia, and hopes to bring its spirit and idealism to the United States.",CM
64,The Master of Disguise,2002,3.3,An Italian waiter fights off a criminal mastermind with his inherited powers of disguise.,CM
65,Swiss Family Robinson,1960,7.2,A Swiss family must survive being shipwrecked on a deserted island.,CM
66,Heartbreakers,2001,6.2,A mother and daughter con team seduce and scam wealthy men.,CM
67,I Am Sam,2001,7.6,A mentally handicapped man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.,CM
68,Hanna,2011,6.8,"A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives.",CM
69,Mo' Money,1992,5.5,"Trying to get his act together, a con artist gets a job in a credit card company. He falls in love with a fellow employee, he steals a couple of cards, everything is going great. But soon, ... See full summary&nbsp;",CM
70,Bridget Jones: The Edge of Reason,2004,6.0,"After finding love, Bridget Jones questions if she really has everything she's dreamed of having.",CM
71,There Will Be Blood,2007,8.2,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",CM
72,Hardball,2001,6.4,"An aimless young man who is scalping tickets, gambling, and drinking, agrees to coach a Little League team from the Cabrini Green housing project in Chicago as a condition of getting a loan from a friend.",CM
73,Yentl,1983,6.7,A Jewish girl disguises herself as a boy to enter religious training.,CM
74,Catwoman,2004,3.3,"A shy woman, endowed with the speed, reflexes, and senses of a cat, walks a thin line between criminal and hero, even as a detective doggedly pursues her, fascinated by both of her personas.",CM
75,2010,1984,6.8,A joint U.S.-Soviet expedition is sent to Jupiter to learn what happened to the Discovery.,CM
76,Legion,2010,5.2,"When a group of strangers at a dusty roadside diner come under attack by demonic forces, their only chance for survival lies with an archangel named Michael, who informs a pregnant waitress that her unborn child is humanity's last hope.",CM
77,The Piano,1993,7.6,"A mute woman is sent to 1850s New Zealand along with her young daughter and prized piano for an arranged marriage to a wealthy landowner, but is soon lusted after by a local worker on the plantation.",CM
78,Big Business,1988,6.4,Two couples of sisters from New York and from the countryside discover that they are connected in an incredible way.,CM
79,Stranger Than Fiction,2006,7.6,"An I.R.S. auditor suddenly finds himself the subject of narration only he can hear: narration that begins to affect his entire life, from his work, to his love-interest, to his death.",CM
80,Resident Evil,2002,6.7,"A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.",CM
81,The Wild Thornberrys Movie,2002,5.4,"Eliza and Debbie are two sisters who don't always get along. But their relationship is put to the test when Debbie's life is in danger, and Eliza might have to give up her power to talk to animals....",CM
82,Pete's Dragon,1977,6.4,An orphan boy and his magical dragon come to town with his abusive adoptive parents in pursuit.,CM
83,Hannah and Her Sisters,1986,7.9,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",CM
84,Righteous Kill,2008,6.0,Two veteran New York City detectives work on a case of serial executions of criminals who escaped justice.,CM
85,Collateral Damage,2002,5.5,"After his family is killed by a terrorist act, a firefighter goes in search of the one responsible.",CM
86,Man of the House,1995,5.1,"A young boy refuses to accept his mother's new boyfriend, a lawyer, despite the man's attempts to win his respect, while disgruntled relatives of a criminal he prosecuted seek revenge.",CM
87,Allied,2016,7.1,"In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",CM
88,You Got Served,2004,3.6,"In order to achieve their dream of opening a recording studio, two friends (Omarion, Houston) must first win their city's dance contest -- a fierce competition that pits them against a group of tough street dancers.",CM
89,The Faculty,1998,6.5,Students suspect that their teachers are aliens after bizarre occurrences.,CM
90,Funny Lady,1975,6.5,Story of singer Fanny Brice's stormy relationship with showman Billy Rose.,CM
91,Roxanne,1987,6.6,The large-nosed C.D. Bales is in love with the beautiful Roxanne; she falls for his personality but another man's looks.,CM
92,A Haunted House,2013,5.1,"Malcolm and Kisha move into their dream home, but soon learn a demon also resides there. When Kisha becomes possessed, Malcolm - determined to keep his sex life on track - turns to a priest, a psychic, and a team of ghost-busters for help.",CM
93,Enough,2002,5.7,"After running away fails, a terrified woman empowers herself in order to battle her abusive husband.",CM
