_id,title,release_year,movie_rating,summary,Up_System
448,"Hail, Caesar!",2016,6.3,A Hollywood fixer in the 1950s works to keep the studio's stars in line.,CM
449,Free Willy 2: The Adventure Home,1995,5.0,Teenager Jesse becomes reunited with Willy two years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,CM
450,Dragonfly,2002,6.1,A grieving doctor is being contacted by his late wife through his patients' near death experiences.,CM
451,Revenge of the Nerds II: Nerds in Paradise,1987,5.0,"The rising college nerds set out to a convention in Florida, but are not welcomed by the Alpha Beta representatives.",CM
452,Jay and Silent Bob Strike Back,2001,6.9,"The comic ""Bluntman and Chronic"" is based on real-life stoners Jay and Silent Bob, so when they get no profit from a big-screen adaptation, they set out to wreck the movie.",CM
453,Road House,1989,6.6,A tough bouncer is hired to tame a dirty bar.,CM
454,Point of No Return,1993,6.0,A government fakes the death of a criminal to turn this young woman into a killer on its service.,CM
455,Sophie's Choice,1982,7.6,"Sophie is the survivor of Nazi concentration camps, who has found a reason to live with Nathan, a sparkling if unsteady American Jew obsessed with the Holocaust.",CM
456,The Gods Must Be Crazy,1980,7.3,"A comic allegory about a traveling Bushman who encounters modern civilization and its stranger aspects, including a clumsy scientist and a band of revolutionaries.",CM
457,The Bank Job,2008,7.2,Martine offers Terry a lead on a foolproof bank hit on London's Baker Street. She targets a roomful of safe deposit boxes worth millions in cash and jewelry. But Terry and his crew don't realize the boxes also contain a treasure trove of dirty secrets - secrets that will thrust them into a deadly web of corruption and illicit scandal.,CM
458,The Iron Lady,2011,6.4,"An elderly Margaret Thatcher talks to the imagined presence of her recently deceased husband as she struggles to come to terms with his death while scenes from her past life, from girlhood to British prime minister, intervene.",CM
459,"I, Tonya",2017,7.5,"Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes.",CM
460,Hollywood Homicide,2003,5.3,Two LAPD detectives who moonlight in other fields investigate the murder of an up-and-coming rap group.,CM
461,Airport '77,1977,5.6,"Art thieves hijack a 747, hit fog and crash into the ocean, trapping them and the passengers under one hundred feet of water.",CM
462,Rollerball,1975,6.6,"In a corporate-controlled future, an ultra-violent sport known as Rollerball represents the world, and one of its powerful athletes is out to defy those who want him out of the game.",CM
463,Spartacus,1960,7.9,The slave Spartacus leads a violent revolt against the decadent Roman Republic.,CM
464,White Christmas,1954,7.6,A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.,CM
465,A Nightmare on Elm Street 2: Freddy's Revenge,1985,5.4,"A teenage boy is haunted in his dreams by deceased child murderer Freddy Krueger, who is out to possess him in order to continue his reign of terror in the real world.",CM
466,Neighbors,1981,5.6,"A quiet man's peaceful suburban lifestyle is threatened by the new, obnoxious couple that moves in next door.",CM
467,Green Card,1990,6.2,"A man wanting to stay in the US enters into a marriage of convenience, but it turns into more than that.",CM
468,Hostiles,2017,7.2,"In 1892, a legendary Army Captain reluctantly agrees to escort a Cheyenne chief and his family through dangerous territory.",CM
469,Grudge Match,2013,6.4,"A pair of aging boxing rivals are coaxed out of retirement to fight one final bout, thirty years after their last match.",CM
470,Serpico,1973,7.8,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,CM
471,Madeline,1998,6.0,"The adventurous, young Madeline is very good at getting into trouble, but she's also fantastic in solving problems as well, and her school-mistress Miss Clavel is not too approving of her. ... See full summary&nbsp;",CM
472,Harry and the Hendersons,1987,5.9,The Henderson family adopt a friendly Sasquatch but have a hard time trying to keep the legend of 'Bigfoot' a secret.,CM
473,Wild Things,1998,6.5,A police detective uncovers a conspiracy behind a case involving a high-school guidance counselor when accusations of rape are made against him by two female students.,CM
474,The Hate U Give,2018,7.2,"Starr witnesses the fatal shooting of her childhood best friend Khalil at the hands of a police officer. Now, facing pressure from all sides of the community, Starr must find her voice and stand up for what's right.",CM
475,The World According to Garp,1982,7.2,"A struggling young writer finds his life and work dominated by his unfaithful wife and his radical feminist mother, whose best-selling manifesto turns her into a cultural icon.",CM
476,When the Bough Breaks,2016,5.0,A surrogate mom for a couple becomes dangerously obsessed with the soon-to-be father.,CM
477,Mystery Men,1999,6.1,A group of inept amateur superheroes must try to save the day when a supervillian threatens to destroy a major superhero and the city.,CM
478,Never Cry Wolf,1983,7.6,"A government researcher, sent to research the ""menace"" of wolves in the north, learns about the true beneficial and positive nature of the species.",CM
479,Did You Hear About the Morgans?,2009,4.8,"In New York City, an estranged couple who witness a murder are relocated to small town Wyoming as part of the Witness Protection Program.",CM
480,Teen Titans Go! To the Movies,2018,6.8,A villain's maniacal plan for world domination sidetracks five teenage superheroes who dream of Hollywood stardom.,CM
481,Tora! Tora! Tora!,1970,7.5,"In 1941, following months of economic embargo, Japan prepares to open its war against the United States with a preventive strike on the US naval base at Pearl Harbor.",CM
482,The Fog,2005,3.6,"A thick mist full of vengeful spirits haunts a prosperous island town off the coast of Oregon, as its inhabitants try to learn their town's dark secret in order to stop it.",CM
483,Twilight Zone: The Movie,1983,6.5,"Four horror and science fiction segments, directed by four famous directors, each of them being a new version of a classic story from Rod Serling's landmark television series.",CM
484,A Walk in the Woods,2015,6.3,"After spending two decades in England, Bill Bryson returns to the U.S., where he decides the best way to connect with his homeland is to hike the Appalachian Trail with one of his oldest friends.",CM
485,Major Payne,1995,6.2,"A recently discharged Major, finds himself commanding a group of mismatched Cadets.",CM
486,A Low Down Dirty Shame,1994,6.0,"A black detective becomes embroiled in a web of danger while searching for a fortune in missing drug money.During the course of his investigation, he encounters various old connections, ... See full summary&nbsp;",CM
487,Pacific Heights,1990,6.4,"A couple work hard to renovate their dream house and become landlords to pay for it. Unfortunately, one of their tenants has plans of his own.",CM
488,Bless the Child,2000,5.1,"Cody, a little girl abandoned by her mother and raised by her aunt, a nurse, is kidnapped. The girl's guardian, aided by an F.B.I. agent, learn that Cody has supernatural abilities, and the abductees are a Satanic cult willing to do anything to gain them.",CM
489,Spice World,1997,3.4,World famous pop group the Spice Girls zip around London in their luxurious double decker tour bus having various adventures and performing for their fans.,CM
490,Confessions of a Teenage Drama Queen,2004,4.6,"A teenage girl is convinced that her home city revolves around her until her family packs up and moves to the suburbs, where she finds herself competing for attention.",CM
491,Easy Money,1983,6.3,"To inherit his mother-in-law's colossal fortune, a hard-living gambling addict must change his unhealthy ways before they get the best of him.",CM
492,Shoot to Kill,1988,6.8,An F.B.I. Agent teams up with a tracker to pursue a murderer after he vanishes into the mountains and infiltrates a hiking group.,CM
493,Fools Rush In,1997,6.1,"After a one night stand with Alex, Isabel realizes that she is pregnant and they decide to get married. However, along with the marriage comes compromise of one's own cultural traditions.",CM
494,Zathura: A Space Adventure,2005,6.2,Two young brothers are drawn into an intergalactic adventure when their house is hurled through the depths of space by the magical board game they are playing.,CM
495,Romy and Michele's High School Reunion,1997,6.2,"Two dim-witted, inseparable friends hit the road for their ten-year high school reunion and concoct an elaborate lie about their lives in order to impress their classmates.",CM
496,Fort Apache the Bronx,1981,6.7,"In New York, South Bronx's main police precinct is nicknamed Fort Apache by its employees who feel like troopers surrounded by hostiles in a wild west isolated outpost.",CM
497,The Rose,1979,7.0,The tragic life of a self-destructive female rock star who struggles to deal with the constant pressures of her career and the demands of her ruthless business manager.,CM
498,Chinatown,1974,8.2,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",CM
499,Nanny McPhee Returns,2010,6.1,"Nanny McPhee arrives to help a harried young mother who is trying to run the family farm while her husband is away at war, though she uses her magic to teach the woman's children and their two spoiled cousins five new lessons.",CM
500,Priest,2011,5.7,A priest disobeys church law to track down the vampires who kidnapped his niece.,CM
501,The Last Picture Show,1971,8.1,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied West Texas town that is slowly dying, both culturally and economically.",CM
502,The Mechanic,2011,6.6,Follows an elite hit man as he teaches his trade to an apprentice who has a connection to one of his previous victims.,CM
503,The Object of My Affection,1998,6.0,"A pregnant New York City social worker begins to develop romantic feelings for her gay best friend, and decides she'd rather raise her child with him, much to the dismay of her overbearing boyfriend.",CM
504,Rent,2005,7.0,"This is the film version of the Pulitzer and Tony Award winning musical about Bohemians in the East Village of New York City struggling with life, love and AIDS, and the impacts they have on America.",CM
505,The Stepfather,2009,5.6,"Michael returns home from military school to find his mother happily in love and living with her new boyfriend. As the two men get to know each other, he becomes more and more suspicious of the man who is always there with a helpful hand.",CM
506,3 Ninjas,1992,5.3,"Each year, three brothers visit their grandfather for the summer. He is highly skilled in ninjutsu, and for years he has trained the boys in his techniques.",CM
507,The New Guy,2002,5.9,A high school senior branded uncool in the ninth grade gets himself expelled so he changes his image to cool kid at the town's other high school.,CM
508,The Insider,1999,7.9,"A research chemist comes under personal and professional attack when he decides to appear in a ""60 Minutes"" expose on Big Tobacco.",CM
509,James and the Giant Peach,1996,6.7,"An orphan, who lives with his two cruel aunts, befriends anthropomorphic bugs who live inside a giant peach, and they embark on a journey to New York City.",CM
510,The Watcher,2000,5.3,David is a serial killer of young women. Joel was in charge of catching him in LA. He moved to Chicago a broken man. So did David and sends him photos of his next victims 24 hours before the murders.,CM
511,The Guns of Navarone,1961,7.6,A British team is sent to cross occupied Greek territory and destroy the massive German gun emplacement that commands a key sea channel.,CM
512,The Dream Team,1989,6.5,"Four mental patients on a field trip in New York City must save their caring chaperon, who ends up being taken to a hospital in a coma after accidentally witnessing a murder, before the killers can find him and finish the job.",CM
513,"Girl, Interrupted",1999,7.4,Based on writer Susanna Kaysen's account of her 18-month stay at a mental hospital in the 1960s.,CM
514,In the Army Now,1994,4.9,Two misguided youths join the reserves to make some money for their entrepreneurial dreams. No sooner than they finish basic training are they called up to do their part to save the free world.,CM
515,L.A. Story,1991,6.7,"With the help of a talking freeway billboard, a wacky weatherman tries to win the heart of an English newspaper reporter, who is struggling to make sense of the strange world of early 1990s Los Angeles.",CM
516,Zoolander 2,2016,4.7,"Derek and Hansel are lured into modelling again, in Rome, where they find themselves the target of a sinister conspiracy.",CM
517,The Five-Year Engagement,2012,6.2,"One year after meeting, Tom proposes to his girlfriend, Violet, but unexpected events keep tripping them up as they look to walk down the aisle together.",CM
518,Draft Day,2014,6.8,"At the NFL Draft, General Manager Sonny Weaver has the opportunity to rebuild his team when he trades for the number one pick. He must decide what he's willing to sacrifice on a life-changing day for a few hundred young men with NFL dreams.",CM
519,Samson and Delilah,1949,6.8,"When strongman Samson rejects the love of the beautiful Philistine woman Delilah, she seeks vengeance that brings horrible consequences they both regret.",CM
520,Kick-Ass 2,2013,6.6,"Following Kick-Ass' heroics, other citizens are inspired to become masked crusaders. But Red Mist leads his own group of evil supervillains to get revenge, kill Kick-Ass and destroy everything he stands for.",CM
521,Point Break,2015,5.3,"A young FBI agent infiltrates an extraordinary team of extreme sports athletes he suspects of masterminding a string of unprecedented, sophisticated corporate heists.",CM
522,Molly's Game,2017,7.5,"The true story of Molly Bloom, an Olympic-class skier who ran the world's most exclusive high-stakes poker game and became an FBI target.",CM
523,Capote,2005,7.4,"In 1959, Truman Capote learns of the murder of a Kansas family and decides to write a book about the case. While researching for his novel In Cold Blood, Capote forms a relationship with one of the killers, Perry Smith, who is on death row.",CM
524,Deceived,1991,6.2,"A marriage that seemed perfect comes crashing down after the death of Jack Saunders, husband of Adrienne Saunders. Strange developments begin to be discovered by Adrienne regarding Jack's ... See full summary&nbsp;",CM
525,Baby Boy,2001,6.4,"This is the story of Jody, an unemployed young black man, who's been living with his mother for several years, even though he's got a child of his own. Romantically, he's having ... See full summary&nbsp;",CM
526,The Last Starfighter,1984,6.7,Video game expert Alex Rogan finds himself transported to another planet after conquering The Last Starfighter video game only to find out it was just a test. He was recruited to join the team of best starfighters to defend their world from the attack.,CM
527,Drop Zone,1994,5.6,A tough cop teams up with a professional skydiver to capture a renegade computer hacker on the run from the law.,CM
528,Starman,1984,7.0,An alien takes the form of a young widow's husband and asks her to drive him from Wisconsin to Arizona. The government tries to stop them.,CM
529,Untraceable,2008,6.2,"FBI agent Jennifer Marsh is tasked with hunting down a seemingly untraceable serial killer who posts live videos of his victims on the Internet. As time runs out, the cat and mouse chase becomes more personal.",CM
530,Fathers' Day,1997,5.2,A woman cons two old boyfriends into searching for her runaway son by convincing both that they are the boy's father.,CM
531,Defiance,2008,7.2,"Jewish brothers in Nazi-occupied Eastern Europe escape into the Belarussian forests, where they join Russian resistance fighters, and endeavor to build a village, in order to protect themselves and about one thousand Jewish non-combatants.",CM
532,28 Weeks Later,2007,7.0,"Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes according to plan.",CM
533,Carnal Knowledge,1971,7.0,Chronicling the lifelong sexual development of two men who meet and befriend one another in college.,CM
534,Hoosiers,1986,7.6,A coach with a checkered past and a local drunk train a small town high school basketball team to become a top contender for the championship.,CM
535,Final Analysis,1992,5.8,"A psychiatrist becomes romantically involved with the sister of one of his patients, but the influence of her controlling gangster husband threatens to destroy them both.",CM
536,The Uninvited,2009,6.4,"Anna returns home after a stint in a mental hospital, but her recovery is jeopardized by her cruel stepmother and ghastly visions of her dead mother.",CM
537,Swimfan,2002,5.0,A high school senior with a promising swimming career has a one-night stand with consequences.,CM
538,We Own the Night,2007,6.9,A New York City nightclub manager tries to save his brother and father from Russian Mafia hitmen.,CM
539,The Out-of-Towners,1999,5.4,"The remake of the 1970 Neil Simon comedy follows the adventures of a couple, Henry and Nancy Clark, vexed by misfortune while in New York City for a job interview.",CM
540,Brothers,2009,7.1,A young man comforts his older brother's wife and children after he goes missing in Afghanistan.,CM
541,Child's Play 2,1990,5.8,"While Andy's mother is admitted to a psychiatric hospital, the young boy is placed in foster care, and Chucky, determined to claim Andy's soul, is not far behind.",CM
542,Mr. Brooks,2007,7.3,A well-respected businessman is sometimes controlled by his murder and mayhem-loving alter ego.,CM
543,House Calls,1978,6.8,"Charley is a surgeon who's recently lost his wife. He embarks on a tragicomic romantic quest with one woman after another until he meets up with Ann, a singular woman, closer to his own age... See full summary&nbsp;",CM
544,Employee of the Month,2006,5.5,"A slacker competes with a repeat winner for the ""Employee of the Month"" title at work, in order to gain the affections of a new female employee.",CM
545,Garfield 2,2006,5.0,"Jon and Garfield visit the United Kingdom, where a case of mistaken cat identity finds Garfield ruling over a castle. His reign is soon jeopardized by the nefarious Lord Dargis, who has designs on the estate.",CM
546,Stop! Or My Mom Will Shoot,1992,4.2,A tough police sergeant's overbearing mother comes to visit him and begins to meddle in his life and career.,CM
547,The Carpetbaggers,1964,6.5,"Jonas Cord is a disagreeable rich young tycoon on the corporate make, with some subplots about booze, broads and Hollywood in the 1930's.",CM
548,High Road to China,1983,6.0,"During WW1, an alcoholic American biplane pilot is hired by the spoiled daughter of an industrialist to find her father who disappeared in Asia.",CM
549,The Crocodile Hunter: Collision Course,2002,5.4,"The Crocodile Hunter mistakes some CIA agents for poachers and sets out to stop them from capturing a wily croc which, unbeknownst to him, has swallowed a tracking drone.",CM
550,The Nut Job 2: Nutty by Nature,2017,5.4,"Following the events of the first movie, Surly and his friends must stop Oakton City's Mayor from destroying their home to make way for a dysfunctional amusement park.",CM
551,A Man for All Seasons,1966,7.8,"The story of Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.",CM
552,The Shawshank Redemption,1994,9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",CM
553,After the Sunset,2004,6.3,"The story of what happens after a master thief achieves his last big score, when the F.B.I. Agent who promised he'd capture him, is about to do just that.",CM
554,Taxi Driver,1976,8.3,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",CM
555,Ernest Saves Christmas,1988,5.6,Ernest helps Santa Claus as he searches for his successor.,CM
556,"20,000 Leagues Under the Sea",1954,7.2,"A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",CM
557,The Prince and Me,2004,5.9,"At college Paige meets Eddie, a fellow student from Denmark, whom she first dislikes but later accepts, likes, and loves; he proves to be Crown Prince Edvard. Paige follows him to Copenhagen, and he follows her back to school with a plan.",CM
558,The Ant Bully,2006,5.8,"After Lucas Nickle floods an ant colony with his watergun, he's magically shrunken down to insect size and sentenced to hard labor in the ruins.",CM
559,Abduction,2011,5.1,A thriller centered on a young man who sets out to uncover the truth about his life after finding his baby photo on a missing persons website.,CM
560,Johnny English,2003,6.2,"After a sudden attack on the MI5, Johnny English, Britain's most confident yet unintelligent spy, becomes Britain's only spy.",CM
561,Cannonball Run II,1984,4.9,The original characters from The Cannonball Run (1981) race across the country once more in various cars and trucks.,CM
562,That Darn Cat!,1965,6.7,"After a kidnapped bank teller uses a neighbor's wandering cat to send an SOS, the FBI assigns a cat-allergic agent to the case.",CM
563,Police Academy 4: Citizens on Patrol,1987,4.9,The misfit Police Academy (1984) graduates now are assigned to train a group of civilian volunteers to fight crime once again plaguing the streets.,CM
564,Happy Death Day 2U,2019,6.4,Tree Gelbman discovers that dying over and over was surprisingly easier than the dangers that lie ahead.,CM
565,Doom,2005,5.2,Space Marines are sent to investigate strange events at a research facility on Mars but find themselves at the mercy of genetically enhanced killing machines.,CM
566,Grosse Pointe Blank,1997,7.4,"Martin Blank is a professional assassin. He is sent on a mission to a small Detroit suburb, Grosse Pointe, and, by coincidence, his ten-year high school reunion party is taking place there at the same time.",CM
567,Slap Shot,1977,7.4,A failing ice hockey team finds success with outrageously violent hockey goonery.,CM
568,Loaded Weapon 1,1993,6.1,"A spoof on Lethal Weapon (1987), other movies, TV commercials etc. 2 unlike LA cops investigate a cocaine in girl scout cookies case.",CM
569,Out to Sea,1997,6.1,"A failed gambler, intent on meeting a rich widow, tricks his widowed brother-in-law into boarding a cruise ship as dance hosts.",CM
570,The Hindenburg,1975,6.2,A film that chronicles the events of the Hindenburg disaster in which a zeppelin burst into flames.,CM
571,The Rescuers Down Under,1990,6.9,"The R.A.S. agents, Miss Bianca and Bernard, race to Australia to save a little boy and a rare golden eagle from a murderous poacher.",CM
572,Menace II Society,1993,7.5,A young street hustler attempts to escape the rigors and temptations of the ghetto in a quest for a better life.,CM
573,Beastly,2011,5.6,"A modern-day take on the ""Beauty and the Beast"" tale where a New York teen is transformed into a hideous monster in order to find true love.",CM
574,Moonlight,2016,7.4,"A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami.",CM
575,Crank,2006,7.0,Professional assassin Chev Chelios learns his rival has injected him with a poison that will kill him if his heart rate drops.,CM
576,Soul Man,1986,5.2,"To achieve his dream of attending Harvard, a pampered teen poses as a young black man to receive a full scholarship.",CM
577,The Majestic,2001,6.9,"Set in 1951, a blacklisted Hollywood writer gets into a car accident, loses his memory and settles down in a small town where he is mistaken for a long-lost son.",CM
578,The Other Sister,1999,6.5,A mentally challenged young woman seeks independence by obtaining her own apartment and attending college while her family plans her sister's wedding.,CM
579,Logan Lucky,2017,7.0,Two brothers attempt to pull off a heist during a NASCAR race in North Carolina.,CM
580,Rings,2017,4.5,A young woman finds herself on the receiving end of a terrifying curse that threatens to take her life in 7 days.,CM
581,The Edge,1997,6.9,An intellectual billionaire and two lesser men struggle to band together and survive after getting stranded in the Alaskan wilderness with a blood-thirsty Kodiak Bear hunting them down.,CM
582,Teachers,1984,6.0,A well meaning but burned-out high school teacher tries to maintain order against the backdrop of a pending lawsuit against his school district when it comes to light they gave a diploma to an illiterate student.,CM
583,The Switch,2010,6.1,"Seven years after the fact, a man comes to the realization that he was the sperm donor for his best friend's boy.",CM
584,Sinister 2,2015,5.3,A young mother and her twin sons move into a rural house that's marked for death.,CM
585,Internal Affairs,1990,6.5,An Internal Affairs agent becomes obsessed with bringing down a cop who has managed to maintain a spotless reputation despite being involved in a web of corruption.,CM
586,Oculus,2013,6.5,"A woman tries to exonerate her brother, who was convicted of murder, by proving that the crime was committed by a supernatural phenomenon.",CM
587,Saw VI,2009,6.0,"Agent Strahm is dead, and FBI agent Erickson draws nearer to Hoffman. Meanwhile, a pair of insurance executives find themselves in another game set by Jigsaw.",CM
588,Hannibal Rising,2007,6.2,"After the death of his parents during World War II, young Hannibal Lecter moves in with his beautiful aunt and begins plotting revenge on the barbarians responsible for his sister's death.",CM
589,The Island of Dr. Moreau,1996,4.5,"After being rescued and brought to an island, a man discovers that its inhabitants are experimental animals being turned into strange-looking humans, all of it the work of a visionary doctor.",CM
590,Cadillac Man,1990,5.6,Joe's a car salesman with a problem. He has two days to sell 12 cars or he loses his job. This would be a difficult task at the best of times but Joe has to contend with his girlfriends (... See full summary&nbsp;,CM
591,The Finest Hours,2016,6.8,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,CM
592,Do the Right Thing,1989,7.9,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",CM
593,Poetic Justice,1993,6.0,"In this film, we see the world through the eyes of main character Justice, a young African-American poet. A mail carrier invites a few friends along for a long overnight delivery run.",CM
594,My Life,1993,6.9,A terminally ill man prepares for his death.,CM
595,Friday,1995,7.3,"Two homies, Smokey and Craig, smoke a dope dealer's weed and try to figure a way to get the $200 they owe to the dealer by 10 p.m. that same night.",CM
596,The Brothers,2001,6.4,Four friends begin to question women and relationships when one of them announces impending nuptials.,CM
597,Memphis Belle,1990,6.9,"In 1943, the crew of a B-17 based in UK prepares for its 25th and last bombing mission over Germany before returning home to the USA.",CM
598,Love &amp; Basketball,2000,7.2,Monica and Quincy love and play basketball together through many life challenges from childhood to adulthood.,CM
599,Now and Then,1995,6.8,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,CM
600,Desperately Seeking Susan,1985,5.9,"A bored suburban housewife, seeking escape from her life, suffers amnesia after an accident, wakes up, and is mistaken for a free-spirited New York City drifter named Susan.",CM
601,Florence Foster Jenkins,2016,6.8,"The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice.",CM
602,The Last Witch Hunter,2015,6.0,The last witch hunter is all that stands between humanity and the combined forces of the most horrifying witches in history.,CM
603,Brown Sugar,2002,6.5,"Friends since childhood, a magazine editor and a hip-hop record executive stumble into romantic territory.",CM
604,Someone Like You...,2001,6.1,"After being jilted by her boyfriend, a talk show talent scout writes a column on the relationship habits of men which gains her national fame.",CM
605,Dallas Buyers Club,2013,8.0,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",CM
606,No Escape,2015,6.8,"In their new overseas house, an American family soon finds themselves caught in the middle of a coup, and they frantically look for a safe escape from an environment where foreigners are being immediately executed.",CM
607,The Muppet Christmas Carol,1992,7.7,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.,CM
608,High Fidelity,2000,7.5,"Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.",CM
609,A Passage to India,1984,7.4,"Cultural mistrust and false accusations doom a friendship in British colonial India between an Indian doctor, an Englishwoman engaged to marry a city magistrate, and an English educator.",CM
610,Brooklyn's Finest,2009,6.7,Three unconnected Brooklyn cops wind up at the same deadly location after enduring vastly different career paths.,CM
611,Airplane II: The Sequel,1982,6.1,A faulty computer causes a passenger space shuttle to head straight for the Sun. Can Ted Striker save the day and get the shuttle back on track - again?,CM
612,Baby Geniuses,1999,2.6,"Scientist hold talking, super-intelligent babies captive, but things take a turn for the worse when a mix-up occurs between a baby genius and its twin.",CM
613,The Jazz Singer,1980,5.8,The son of a Jewish Cantor must defy the traditions of his religious father in order to pursue his dream of being a popular singer.,CM
614,Cloud Atlas,2012,7.4,"An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution.",CM
615,All Dogs Go to Heaven,1989,6.7,"A canine angel, Charlie, sneaks back to earth from heaven but ends up befriending an orphan girl who can speak to animals. In the process, Charlie learns that friendship is the most heavenly gift of all.",CM
616,Fast Times at Ridgemont High,1982,7.2,"A group of Southern California high school students are enjoying their most important subjects: sex, drugs, and rock n' roll.",CM
617,Joe Dirt,2001,5.9,"After being abandoned by his parents at the Grand Canyon, Joe Dirt tells the story of his journey to find his parents.",CM
618,The Musketeer,2001,4.8,"Alexander Dumas' novel is updated with an eastern influence as D'Artagnan attempts to join the king's elite guards, the Royal Musketeers, and find the man who killed his parents.",CM
619,The Story of Us,1999,5.9,Ben and Katie Jordan are a married couple who go through hard times in fifteen years of marriage.,CM
620,Guarding Tess,1994,6.2,"A former U.S. First Lady wants a particular Secret Service agent to head her bodyguard detail, even though he can't stand her.",CM
621,The Big Hit,1998,6.1,"Socially anxious hitman Melvin Smiley, an expert in his lucrative field, goes on a job and falls in love with his kidnapping victim, turning his world upside down.",CM
622,Home Again,2017,5.8,Life for a single mom in Los Angeles takes an unexpected turn when she allows three young guys to move in with her.,CM
623,Paulie,1998,6.5,"Paulie, a talking parrot, recounts his travels looking for his original owner to a Russian janitor who helps him to the end of his journey.",CM
624,Blade Runner,1982,8.2,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",CM
625,Rush,2013,8.1,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,CM
626,Spy Hard,1996,5.3,"Dick Steele, Agent WD-40 is assigned by his Director, to stop the evil General Rancor from destroying the world. WD-40 believed Rancor was dead and he teams up with the hot K.G.B. Agent Veronique Ukrinsky to find Rancor and save the world.",CM
627,The Women,2008,4.9,"A wealthy New Yorker wrestles with the decision to leave her cheating husband, as she and her friends discover that women really can have it all.",CM
628,The Missing,2003,6.5,"In 1885 New Mexico, a frontier medicine woman forms an uneasy alliance with her estranged father when her daughter is kidnapped by an Apache brujo.",CM
629,One Missed Call,2008,4.0,"Several people start receiving voice-mails from their future selves - messages which include the date, time, and some of the details of their deaths.",CM
630,xXx: State of the Union,2005,4.4,"Darius Stone, a new agent in the xXx program, is sent to Washington, D.C. to stop a coup attempt against the President of the United States.",CM
631,Stick It,2006,6.4,"After a run-in with the law, Haley Graham (Missy Peregrym) is forced to return to the world from which she fled some years ago. Enrolled in an elite gymnastics program run by the legendary Burt Vickerman (Jeff Bridges), Haley's rebellious attitude gives way to something that just might be called team spirit.",CM
632,Going in Style,1979,7.2,Three friends who are living on the dole decide to organize a bank robbery.,CM
633,Hell or High Water,2016,7.6,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,CM
634,Elizabethtown,2005,6.4,"During a hometown memorial for his Kentucky-born father, a young man begins an unexpected romance with a too-good-to-be-true stewardess.",CM
635,Resident Evil: The Final Chapter,2016,5.6,"Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.",CM
636,Glory,1989,7.9,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.",CM
637,Ricki and the Flash,2015,5.9,"A musician who gave up everything for her dream of rock-and-roll stardom returns home, looking to make things right with her family.",CM
638,The Other Boleyn Girl,2008,6.7,Two sisters contend for the affection of King Henry VIII.,CM
639,Eye for an Eye,1996,6.2,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.",CM
640,Garden State,2004,7.5,A quietly troubled young man returns home for his mother's funeral after being estranged from his family for a decade.,CM
641,The Best of Me,2014,6.7,A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.,CM
642,Bio-Dome,1996,4.4,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",CM
