A_id,B_id
2225,2517
1071,1060
1631,2761
1135,2710
2361,815
232,143
103,903
1079,1197
1815,1681
1067,3098
101,1445
1015,2947
1091,156
197,1226
1061,2719
1009,1048
1038,1003
2657,303
2553,5
2509,1838
2451,2171
2665,156
2406,1226
1369,497
1639,41
1009,318
1456,903
358,1524
1,2562
2495,2880
100,2653
505,2963
1,1018
1543,1980
1,90
100,1889
1,2449
733,170
2570,2197
100,2946
1018,607
108,1869
2044,2517
288,502
100,2975
1,2474
1059,1696
1012,2846
105,370
1012,103
1016,565
106,1739
106,1375
105,2421
100,2775
1012,2193
1,1609
1012,197
1048,1499
1010,2461
353,3032
1058,1308
1012,2725
1013,1547
106,2460
1043,2672
1012,1416
1058,1424
3207,2618
1016,372
1043,1874
1013,1273
2058,531
1012,2964
1036,1886
1097,196
1074,264
1,144
1,1144
108,1803
1065,2247
1016,719
1044,2435
1,2718
1072,1133
1010,2600
1717,41
1865,364
110,321
1010,1534
963,828
278,127
1478,15
1212,176
1376,1101
1659,155
170,1193
1452,2619
1922,1361
1173,334
1512,2338
2359,1069
1706,43
0,2594
112,2865
2119,2806
1015,2780
2147,2907
3102,1586
1002,880
1031,2426
2221,598
1038,2756
1021,1576
100,2735
1056,2017
1065,476
1097,2964
217,2450
1015,804
2904,3021
1066,93
0,2399
432,3038
1015,1470
101,792
2586,1716
1119,2209
11,1666
2586,2530
1029,901
2535,1198
1002,1412
2605,1716
2688,343
2730,2787
1031,187
1036,2489
1146,1084
108,1611
1149,1565
1189,612
1104,2020
2589,2044
1702,2958
1093,1965
1947,500
1239,538
1457,540
1865,2869
259,840
1296,614
65,2086
1280,1347
1192,1584
1510,2517
1234,2535
1079,2639
156,2080
1285,1376
1550,75
2611,18
1101,1027
12,679
1003,435
1638,1019
760,339
432,2614
925,500
787,1284
2966,2816
2101,2155
2223,1590
1187,303
1343,1174
1213,361
2691,2334
1035,2562
156,1745
3201,497
2773,1644
314,276
2516,937
2556,1773
840,3034
2952,2510
