id1,id2,matching_probability
2685,2777,1.0
2688,2209,1.0
269,2977,1.0
2690,559,1.0
2691,2334,0.9
2694,971,1.0
2699,2039,1.0
2700,3063,0.9
2701,3080,1.0
2703,216,1.0
2705,2319,1.0
2708,1942,0.9
2712,644,1.0
2714,2343,1.0
2715,2407,1.0
2720,1651,1.0
2721,226,1.0
2723,2356,1.0
2724,2518,1.0
2725,1506,1.0
2731,2351,1.0
2733,224,1.0
2735,1621,1.0
2736,131,1.0
2737,737,1.0
2739,2651,1.0
2742,1677,1.0
2748,2131,0.9
2750,701,1.0
2771,1659,0.9
278,127,0.9
2781,1457,1.0
2789,1076,0.9
2795,497,1.0
280,181,1.0
2802,2950,1.0
2809,2547,1.0
2815,2940,1.0
2826,1491,0.9
2829,1527,1.0
2838,2554,1.0
2863,2687,0.9
2879,1167,1.0
2881,1931,0.9
2883,1866,1.0
2901,286,1.0
2903,861,1.0
2915,3068,0.9
2923,2224,1.0
2925,905,1.0
2926,1044,0.9
2937,2958,1.0
2943,700,1.0
2952,2510,1.0
2953,460,1.0
2954,1732,1.0
2960,2331,1.0
2967,921,1.0
2968,2926,0.9
2971,765,0.9
2982,230,1.0
3013,1638,1.0
3017,1555,1.0
3024,1163,0.9
3038,1997,1.0
304,2569,1.0
3046,2022,1.0
3049,1046,1.0
3051,2324,1.0
3057,1,0.9
307,2322,0.9
3071,67,0.9
3080,2187,0.9
3081,834,0.9
3083,2971,1.0
3093,465,1.0
3094,980,0.9
3099,702,0.9
3100,1148,1.0
3102,1586,0.8
311,96,1.0
3117,858,1.0
3119,2002,0.9
313,1504,1.0
314,276,0.8
3140,1624,1.0
3142,2041,1.0
3144,504,1.0
3150,1056,0.9
3155,3076,1.0
3156,1523,1.0
3171,659,1.0
3174,2771,1.0
3186,1682,1.0
3195,257,1.0
320,2095,1.0
3207,2618,1.0
3210,2534,0.9
3212,1690,1.0
3218,46,1.0
3224,1069,1.0
3230,2784,1.0
3233,568,1.0
3241,2813,1.0
343,2990,1.0
345,2672,1.0
362,1528,0.9
370,2621,1.0
378,2717,0.9
385,1954,0.9
391,1924,1.0
434,1490,0.9
438,2856,1.0
447,941,1.0
448,251,1.0
45,576,1.0
459,422,0.9
463,1629,1.0
474,812,0.9
498,2904,1.0
5,1772,1.0
501,2392,1.0
508,2833,1.0
519,932,1.0
522,2493,1.0
523,1156,1.0
528,2411,1.0
532,2264,1.0
534,1037,1.0
55,171,1.0
554,2359,1.0
566,1006,1.0
579,1906,1.0
59,2137,1.0
592,2935,1.0
60,1154,0.9
600,2437,0.9
605,2851,1.0
608,2135,1.0
61,3025,1.0
63,145,1.0
633,1184,1.0
636,2888,0.8
646,750,1.0
657,1445,0.9
666,380,1.0
667,137,1.0
680,1730,1.0
688,1763,1.0
691,3039,1.0
692,1737,1.0
71,2390,0.8
711,3098,1.0
733,2963,1.0
734,2683,1.0
741,497,0.9
752,1503,1.0
755,2221,0.9
760,339,1.0
761,229,1.0
764,1427,1.0
768,773,1.0
77,1136,1.0
773,188,0.9
774,1809,0.9
779,590,0.9
786,1349,1.0
787,1284,0.9
793,1719,1.0
793,1980,1.0
808,974,1.0
819,1744,0.9
82,3046,0.9
824,2323,1.0
825,2761,1.0
832,540,1.0
840,3034,0.9
842,2507,0.9
844,1771,0.9
849,1155,1.0
854,944,1.0
855,3057,1.0
860,618,0.9
863,72,1.0
864,2495,0.9
869,682,1.0
870,2206,1.0
873,1613,1.0
877,359,1.0
884,17,0.9
887,1182,1.0
891,846,1.0
894,1934,1.0
908,1258,1.0
91,1595,0.9
91,733,0.6
917,1066,1.0
925,2942,1.0
927,1921,1.0
930,1405,1.0
930,2435,1.0
934,769,1.0
936,1197,0.9
953,2018,1.0
958,2474,1.0
96,87,0.9
963,828,1.0
979,3083,1.0
98,2928,1.0
980,708,1.0
982,2501,0.9
989,1530,1.0
